EAN,,
COLLECTION 2011/2012,,
HAVAIANAS BRASIL,,
EAN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA,,
7000206 - HAVAIANAS BRASIL PREP EXP CX GRADE,,
7005468 - HAVAIANAS BRASIL CX GRADE USA,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,EAN CODE
2619 - AMAZONIA / AMAZONIA / AMAZONIA,412 / 9 / 43/44,37891109262178
2619 - AMAZONIA / AMAZONIA / AMAZONIA,434 / 10/11 / 45/46,37891109262185
2619 - AMAZONIA / AMAZONIA / AMAZONIA,456 / 12 / 47/48,37891109262192
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,334 / 3 / 35/36,37890557699222
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,356 / 4/5 / 37/38,37890557699338
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,378 / 6 / 39/40,37890557699345
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,390 / 7/8 / 41/42,37890557699499
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,412 / 9 / 43/44,37890557699505
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,434 / 10/11 / 45/46,37890557699512
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,456 / 12 / 47/48,37890557699529
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,334 / 3 / 35/36,37895265298538
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,356 / 4/5 / 37/38,37895265298545
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,378 / 6 / 39/40,37895265298552
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,390 / 7/8 / 41/42,37895265298569
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,412 / 9 / 43/44,37895265298576
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,434 / 10/11 / 45/46,37895265298583
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,456 / 12 / 47/48,37895265298590
,,6/14
7000106-D12,,
COLLECTION 2011/2012,COLLECTION 2011/2012,
HAVAIANAS BRASIL,,
DUN CODE,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA - CÓDIGO DUN 12 PRS/UNI,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,DUN CODE
0001 - BRANCO / WHITE / BLANCO,334 / 3 / 35/36,37890732647741
0001 - BRANCO / WHITE / BLANCO,356 / 4/5 / 37/38,37890732650857
0001 - BRANCO / WHITE / BLANCO,378 / 6 / 39/40,37890732650864
0001 - BRANCO / WHITE / BLANCO,390 / 7/8 / 41/42,37890732650871
0001 - BRANCO / WHITE / BLANCO,412 / 9 / 43/44,37890732650888
0001 - BRANCO / WHITE / BLANCO,434 / 10/11 / 45/46,37890732650895
0001 - BRANCO / WHITE / BLANCO,456 / 12 / 47/48,37890732650901
0090 - PRETO / BLACK / NEGRO,334 / 3 / 35/36,37890732651403
0090 - PRETO / BLACK / NEGRO,356 / 4/5 / 37/38,37890732651410
0090 - PRETO / BLACK / NEGRO,378 / 6 / 39/40,37890732651427
0090 - PRETO / BLACK / NEGRO,390 / 7/8 / 41/42,37890732651434
0090 - PRETO / BLACK / NEGRO,412 / 9 / 43/44,37890732651441
0090 - PRETO / BLACK / NEGRO,434 / 10/11 / 45/46,37890732651557
0090 - PRETO / BLACK / NEGRO,456 / 12 / 47/48,37890732651564
0090 - PRETO / BLACK / NEGRO,478 / 13/14 / 49/40,37890732651571
0324 - CINZA / GREY / GRIS,334 / 3 / 35/36,37890557778484
